iter	Passed	Remaining
663	980	496
664	981	494
665	982	492
666	983	491
667	984	489
668	986	487
669	987	486
670	988	484
671	989	482
672	990	481
673	991	479
674	993	478
675	994	476
676	996	475
677	997	473
678	999	472
679	1000	470
680	1001	469
681	1002	467
682	1004	466
683	1005	464
684	1006	462
685	1007	461
686	1009	459
687	1010	458
688	1012	456
689	1013	455
690	1014	453
691	1016	452
692	1017	450
693	1019	449
694	1020	447
695	1021	446
696	1023	444
697	1024	443
698	1026	442
699	1028	440
700	1029	439
701	1031	437
702	1032	436
703	1033	434
704	1035	433
705	1036	431
706	1038	430
707	1039	428
708	1041	427
709	1042	425
710	1043	424
711	1044	422
712	1046	421
713	1047	419
714	1048	418
715	1050	416
716	1051	415
717	1053	413
718	1054	412
719	1056	410
720	1057	409
721	1059	407
722	1060	406
723	1062	405
724	1063	403
725	1065	402
726	1066	400
727	1067	398
728	1069	397
729	1070	395
730	1071	394
731	1072	392
732	1073	391
733	1074	389
734	1076	387
735	1077	386
736	1078	385
737	1080	383
738	1081	382
739	1082	380
740	1083	378
741	1085	377
742	1086	375
743	1087	374
744	1089	372
745	1090	371
746	1092	369
747	1093	368
748	1095	367
749	1096	365
750	1097	363
751	1098	362
752	1100	360
753	1101	359
754	1102	357
755	1104	356
756	1105	354
757	1106	353
758	1107	351
759	1108	350
760	1109	348
761	1110	346
762	1112	345
763	1113	343
764	1114	342
765	1115	340
766	1117	339
767	1118	337
768	1119	336
769	1121	334
770	1122	333
771	1123	331
772	1125	330
773	1126	328
774	1127	327
775	1128	325
776	1129	324
777	1131	322
778	1132	321
779	1133	319
780	1134	318
781	1135	316
782	1137	315
783	1138	313
784	1140	312
785	1141	310
786	1142	309
787	1143	307
788	1145	306
789	1146	304
790	1147	303
791	1148	301
792	1150	300
793	1151	298
794	1152	297
795	1154	295
796	1155	294
797	1156	292
798	1157	291
799	1159	289
800	1160	288
801	1161	286
802	1162	285
803	1163	283
804	1165	282
805	1166	280
806	1167	279
807	1168	277
808	1170	276
809	1171	274
810	1173	273
811	1174	271
812	1175	270
813	1176	268
814	1177	267
815	1179	265
816	1180	264
817	1181	262
818	1183	261
819	1184	259
820	1185	258
821	1187	257
822	1188	255
823	1189	254
824	1190	252
825	1191	251
826	1193	249
827	1194	248
828	1195	246
829	1197	245
830	1198	243
831	1199	242
832	1201	240
833	1202	239
834	1203	237
835	1205	236
836	1206	235
837	1208	233
838	1209	232
839	1210	230
840	1212	229
841	1213	227
842	1214	226
843	1216	224
844	1217	223
845	1218	221
846	1219	220
847	1221	218
848	1222	217
849	1223	215
850	1225	214
851	1226	213
852	1227	211
853	1228	210
854	1230	208
855	1231	207
856	1232	205
857	1234	204
858	1235	202
859	1237	201
860	1238	199
861	1239	198
862	1241	197
863	1242	195
864	1243	194
865	1244	192
866	1245	191
867	1247	189
868	1248	188
869	1250	186
870	1251	185
871	1252	183
872	1254	182
873	1255	181
874	1256	179
875	1258	178
876	1259	176
877	1260	175
878	1262	173
879	1263	172
880	1264	170
881	1265	169
882	1267	167
883	1268	166
884	1269	164
885	1270	163
886	1272	162
887	1273	160
888	1274	159
889	1275	157
890	1276	156
891	1278	154
892	1279	153
893	1280	151
894	1281	150
895	1282	148
896	1284	147
897	1285	146
898	1287	144
899	1288	143
900	1289	141
901	1290	140
902	1292	138
903	1293	137
904	1294	135
905	1295	134
906	1296	132
907	1297	131
908	1298	130
909	1300	128
910	1301	127
911	1302	125
912	1303	124
913	1304	122
914	1306	121
915	1307	119
916	1308	118
917	1309	116
918	1310	115
919	1311	114
920	1313	112
921	1314	111
922	1315	109
923	1316	108
924	1318	106
925	1319	105
926	1320	103
927	1321	102
928	1322	101
929	1324	99
930	1325	98
931	1326	96
932	1327	95
933	1328	93
934	1329	92
935	1330	90
936	1331	89
937	1333	88
938	1334	86
939	1335	85
940	1337	83
941	1338	82
942	1339	80
943	1340	79
944	1341	78
945	1343	76
946	1344	75
947	1345	73
948	1346	72
949	1348	70
950	1349	69
951	1351	68
952	1352	66
953	1353	65
954	1354	63
955	1356	62
956	1357	60
957	1358	59
958	1360	58
959	1361	56
960	1362	55
961	1364	53
962	1365	52
963	1366	51
964	1367	49
965	1368	48
966	1370	46
967	1371	45
968	1372	43
969	1373	42
970	1374	41
971	1376	39
972	1377	38
973	1378	36
974	1379	35
975	1381	33
976	1382	32
977	1383	31
978	1384	29
979	1386	28
980	1387	26
981	1388	25
982	1389	24
983	1391	22
984	1392	21
985	1393	19
986	1394	18
987	1396	16
988	1397	15
989	1398	14
990	1399	12
991	1400	11
992	1401	9
993	1403	8
994	1404	7
995	1405	5
996	1406	4
997	1407	2
998	1408	1
999	1409	0
